ema_angles;nsf_angles;last_angles;_wma_angles;wma_angles;sma_angles;just_angles
70.0000;70.0000;70.0000;70.0000;70.0000;70.0000;70.0000
75.4455;79.3276;70.5551;70.5018;70.4811;70.5273;70.3782
70.4288;69.9747;70.5299;70.4830;70.5138;70.4995;70.4793
71.5913;70.0250;70.7573;70.8676;70.9885;70.6436;72.7034
71.7683;70.1256;70.7068;70.8396;70.8483;70.9898;70.8331
70.8711;70.5278;73.7396;71.5890;71.4346;71.3234;70.9090
71.4144;71.8296;72.2990;72.3275;72.4185;72.1373;71.9199
72.1600;72.7095;72.7034;72.6804;72.6868;72.7059;72.4001
72.6655;72.3884;73.0825;73.0986;73.3545;73.2114;72.9308
74.0934;72.7152;73.6132;73.6311;73.8972;73.4085;75.2560
74.5989;74.1929;74.3461;74.3677;74.2216;74.2299;73.9418
74.2956;74.0226;74.8516;75.0662;74.8691;74.8162;74.6494
74.9022;75.4752;75.3824;75.5073;75.3065;75.3470;75.1549
75.3824;76.0283;76.0647;75.9811;75.9411;76.0041;75.6098
75.9131;76.5815;76.4186;76.4264;76.5707;76.5095;76.2164
76.3680;77.2911;76.8229;76.9024;77.1349;76.6637;76.5197
76.8482;77.3357;77.4548;77.5448;77.5016;77.4952;77.1768
77.4674;78.0397;78.0108;78.1054;78.2681;78.1725;77.7580
78.1751;78.6683;78.7690;78.7019;78.7501;78.7943;78.5921
78.7943;79.3471;79.2492;79.2496;79.2795;79.2568;78.9964
79.2618;79.8499;79.7294;79.6963;79.6903;79.8027;79.5272
79.7294;81.1630;80.2348;80.2950;80.1962;80.2803;79.9315
80.2854;80.9059;80.9172;80.8988;80.8166;80.8793;80.6392
80.9046;80.6350;81.1194;81.2159;81.2628;81.3620;81.1700
81.3595;81.0373;81.7512;81.7917;81.7747;81.7512;81.5490
81.8650;82.4396;82.2314;82.3711;82.4263;82.3553;82.1809
83.2297;83.0430;82.6611;82.7392;82.9616;82.6206;84.2786
83.6215;84.0293;83.1666;83.1574;83.2254;83.2474;82.9644
83.2550;82.8727;83.7226;83.7097;83.6624;83.7529;83.5456
83.9247;84.2498;84.3291;84.3746;84.4270;84.4504;84.3038
84.5439;85.0795;85.0115;85.0349;85.0235;85.1075;84.7840
85.0115;84.6327;85.5675;85.5018;85.5519;85.5953;85.2390
86.3257;85.9344;85.9719;86.0174;86.3161;85.9036;87.4125
86.6795;85.6384;86.4521;86.3446;86.2761;86.3383;85.9466
86.3889;86.8898;87.2103;87.2181;87.1239;87.1294;86.8312
87.1597;86.8955;87.5641;87.5848;87.5315;87.4858;87.4883
87.6273;88.2223;87.9432;88.0374;87.9910;88.1100;87.7663
87.9306;87.7252;88.2465;88.2001;88.1960;88.3122;88.0948
88.9668;87.7252;88.4740;88.4978;88.8149;88.4310;89.8387
89.3964;88.1023;89.0300;89.0525;89.0254;89.1260;88.9541
89.2701;89.5549;89.7882;89.7702;89.9177;89.7528;89.5860
89.9019;90.2086;90.5211;90.3653;90.3649;90.4074;90.2178
90.4579;90.0634;90.9760;90.9494;90.9140;91.0114;90.6980
90.9634;91.5160;91.4562;91.4231;91.6538;91.4941;91.2287
91.4688;92.5273;91.8859;91.9249;91.8854;91.9516;91.7089
91.9743;92.5468;92.3408;92.4818;92.4184;92.4823;92.2397
92.6061;93.0496;93.2253;93.3127;93.3085;93.2784;92.9726
93.3391;92.8290;93.7055;93.6858;93.7258;93.6803;93.7055
93.8824;93.1810;94.0594;94.1338;94.0920;94.1225;94.0594
94.7165;94.6587;94.5648;94.5607;94.6627;94.4713;95.3736
95.0829;95.4187;95.0703;95.2003;95.1259;95.0172;94.7923
95.1840;95.7650;95.8285;95.8772;95.8791;95.9195;95.5758
95.8790;95.4438;96.2581;96.2770;96.5100;96.3138;96.1823
96.4730;96.8461;96.8394;96.8059;96.7972;96.7939;96.7636
96.9658;96.3992;97.2944;97.2516;97.2231;97.2842;97.1680
97.9262;96.7512;97.6482;97.6601;97.8467;97.5749;98.6844
98.4064;98.1535;98.1284;98.0953;98.0691;98.0829;98.1284
98.2547;97.7318;98.5580;98.4992;98.5603;98.5555;98.3811
98.5454;98.0586;98.9119;98.7786;98.7942;98.7476;98.7097
98.8487;98.3855;99.1140;99.0644;99.0672;99.0458;98.9877
99.1646;98.6872;99.9228;99.9453;99.9490;99.7585;99.3415
100.3903;99.9637;100.6810;100.6984;100.8239;100.4965;101.4392
101.2117;100.7683;101.0095;100.9732;100.9755;101.0576;100.9843
101.1485;101.5729;101.3381;101.2926;101.2793;101.4544;101.3128
101.4518;101.0757;101.5403;101.5311;101.5706;101.5706;101.5908
101.7046;101.2768;102.1468;102.1266;102.0113;102.0154;101.8183
102.1089;102.5031;102.9809;103.0801;102.9220;102.7635;102.3996
102.9303;103.1122;103.4358;103.5387;103.5070;103.5015;103.4611
103.5495;103.0117;103.7391;103.8530;103.8815;103.8907;103.6380
103.9033;103.4139;104.1434;104.2284;104.3401;104.3178;104.1687
